Depth,PartID,Name,Category,Subsystem,Material,Class,Mass_kg,Unit_Cost_USD
0,TPSL-SHFT-MAI-0001,"Turbopump Main Shaft (Inconel 718)",SHFT,MAI,"Inconel 718",Class 1,4.793,455.37
0,TPSL-SHFT-SLV-0001,"Shaft Sleeve (Stellite hardfaced)",SHFT,SLV,"Stainless Steel 316",Class 1,0.32,3.84
0,TPSL-SEAL-LAB-0001,"Labyrinth Tooth 1",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0002,"Labyrinth Tooth 2",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0003,"Labyrinth Tooth 3",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0004,"Labyrinth Tooth 4",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0005,"Labyrinth Tooth 5",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0006,"Labyrinth Tooth 6",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0007,"Labyrinth Tooth 7",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0008,"Labyrinth Tooth 8",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0009,"Labyrinth Tooth 9",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0010,"Labyrinth Tooth 10",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0011,"Labyrinth Tooth 11",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LAB-0012,"Labyrinth Tooth 12",SEAL,LAB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-LSR-0001,"Labyrinth Stator Ring",SEAL,LSR,"Inconel 718",Class 3,1.345,127.74
0,TPSL-SEAL-CFS-0001,"Primary Carbon-Graphite Seal Ring",SEAL,CFS,"Carbon Fiber Composite",Class 3,0.067,13.44
0,TPSL-SEAL-MTR-0001,"Mating Ring (Stellite-coated Inconel)",SEAL,MTR,"Inconel 718",Class 3,0.136,12.91
0,TPSL-SEAL-SPR-0001,"Face-Load Wave Spring 1",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0002,"Face-Load Wave Spring 2",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0003,"Face-Load Wave Spring 3",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0004,"Face-Load Wave Spring 4",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0005,"Face-Load Wave Spring 5",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0006,"Face-Load Wave Spring 6",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0007,"Face-Load Wave Spring 7",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SPR-0008,"Face-Load Wave Spring 8",SEAL,SPR,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-EOR-0001,"Energizer O-Ring (Spring-Loaded PTFE)",SEAL,EOR,"Nylon 6/6",Class 3,0,0
0,TPSL-SEAL-SLB-0001,"Secondary Labyrinth Tooth 1",SEAL,SLB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SLB-0002,"Secondary Labyrinth Tooth 2",SEAL,SLB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SLB-0003,"Secondary Labyrinth Tooth 3",SEAL,SLB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SLB-0004,"Secondary Labyrinth Tooth 4",SEAL,SLB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SLB-0005,"Secondary Labyrinth Tooth 5",SEAL,SLB,"Inconel 718",Class 3,0,0
0,TPSL-SEAL-SLB-0006,"Secondary Labyrinth Tooth 6",SEAL,SLB,"Inconel 718",Class 3,0,0
0,TPSL-BRG-IRC-0001,"Thrust Bearing Inner Race",BRG,IRC,"Inconel 718",Class 3,0.085,8.07
