Item,Name,Category,Subsystem,Material,Class,Qty,Unit_Mass_kg,Unit_Cost_USD,Ext_Mass_kg,Ext_Cost_USD,Supplier,Lead_Weeks,Sample_PartID
1,"Brake Housing — Outer Cylinder (Flux Return)",HOU,OUT,"Steel AISI 1020",Class 3,1,1.124,5.62,1.124,5.62,"TBD",4,MRBR-HOU-OUT-0001
2,"Housing Front Cover",HOU,FRT,"Steel AISI 1020",Class 3,1,0.381,1.91,0.381,1.91,"TBD",4,MRBR-HOU-FRT-0001
3,"Housing Back Cover",HOU,BCK,"Steel AISI 1020",Class 3,1,0.381,1.91,0.381,1.91,"TBD",4,MRBR-HOU-BCK-0001
4,"MR Brake Rotor Disk",ROT,DSK,"Steel AISI 1020",Class 3,1,0.169,0.85,0.169,0.85,"TBD",6,MRBR-ROT-DSK-0001
5,"Rotor Shaft",ROT,SFT,"Steel AISI 4340",Class 3,1,0.031,0.18,0.031,0.18,"Carpenter Technology",4,MRBR-ROT-SFT-0001
6,"Shaft Bearing 1 (Angular Contact)",BRG,AC,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,MRBR-BRG-AC-0001
7,"Shaft Bearing 2 (Angular Contact)",BRG,AC,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,MRBR-BRG-AC-0002
8,"Shaft Dynamic Seal 1 (PTFE lip seal)",SEAL,DYN,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,MRBR-SEAL-DYN-0001
9,"Shaft Dynamic Seal 2 (PTFE lip seal)",SEAL,DYN,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,MRBR-SEAL-DYN-0002
10,"Electromagnetic Coil (1200 turns × 0.5mm enamelled Cu)",COIL,WIN,"Copper C11000",Class 3,1,2.157,34.51,2.157,34.51,"Mueller Industries",4,MRBR-COIL-WIN-0001
11,"Coil Bobbin (PEEK insulator)",COIL,BOB,"Nylon 6/6",Class 3,1,0.11,0.55,0.11,0.55,"TBD",4,MRBR-COIL-BOB-0001
12,"Stator Pole Piece Front",STA,POL,"Steel AISI 1020",Class 3,1,0.34,1.7,0.34,1.7,"TBD",4,MRBR-STA-POL-0001
13,"Stator Pole Piece Back",STA,POL,"Steel AISI 1020",Class 3,1,0.34,1.7,0.34,1.7,"TBD",4,MRBR-STA-POL-0002
14,"MR Fluid Chamber (annular gap, 0.5mm)",FLU,CHM,"Stainless Steel 316",Class 3,1,0.031,0.37,0.031,0.37,"Carpenter Technology",4,MRBR-FLU-CHM-0001
15,"MR Fluid Fill Port",FLU,PRT,"Stainless Steel 316",Class 3,1,0.003,0.04,0.003,0.04,"Carpenter Technology",4,MRBR-FLU-PRT-0001
16,"MR Fluid Drain Port",FLU,PRT,"Stainless Steel 316",Class 3,1,0.003,0.04,0.003,0.04,"Carpenter Technology",4,MRBR-FLU-PRT-0002
17,"MR Fluid Accumulator",FLU,ACC,"Stainless Steel 316",Class 3,1,0.033,0.4,0.033,0.4,"Carpenter Technology",4,MRBR-FLU-ACC-0001
18,"Chamber O-Ring Seal 1 (Viton)",SEAL,ORI,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,MRBR-SEAL-ORI-0001
19,"Chamber O-Ring Seal 2 (Viton)",SEAL,ORI,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,MRBR-SEAL-ORI-0002
20,"Chamber O-Ring Seal 3 (Viton)",SEAL,ORI,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,MRBR-SEAL-ORI-0003
21,"Chamber O-Ring Seal 4 (Viton)",SEAL,ORI,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,MRBR-SEAL-ORI-0004
22,"Hall-Effect Position Sensor 1",SNS,POS,"ABS Plastic",Class 3,1,0,0,0,0,"TBD",4,MRBR-SNS-POS-0001
23,"Hall-Effect Position Sensor 2",SNS,POS,"ABS Plastic",Class 3,1,0,0,0,0,"TBD",4,MRBR-SNS-POS-0002
24,"Hall-Effect Position Sensor 3",SNS,POS,"ABS Plastic",Class 3,1,0,0,0,0,"TBD",4,MRBR-SNS-POS-0003
25,"Coil Current Sensor (LEM CASR-15)",SNS,CUR,"ABS Plastic",Class 3,1,0.003,0.02,0.003,0.02,"TBD",4,MRBR-SNS-CUR-0001
26,"PT100 RTD Temperature Sensor",SNS,RTD,"Stainless Steel 316",Class 3,1,0.001,0.01,0.001,0.01,"Carpenter Technology",4,MRBR-SNS-RTD-0001
27,"Reaction Torque Sensor (strain gauge)",SNS,TRQ,"Aluminum 6061-T6",Class 3,1,0.008,0.06,0.008,0.06,"Alcoa",4,MRBR-SNS-TRQ-0001
28,"Wire Lead 1",WIR,LED,"Copper C11000",Class 3,1,0.002,0.03,0.002,0.03,"Mueller Industries",4,MRBR-WIR-LED-0001
29,"Wire Lead 2",WIR,LED,"Copper C11000",Class 3,1,0.002,0.03,0.002,0.03,"Mueller Industries",4,MRBR-WIR-LED-0002
30,"Wire Lead 3",WIR,LED,"Copper C11000",Class 3,1,0.002,0.03,0.002,0.03,"Mueller Industries",4,MRBR-WIR-LED-0003
31,"Wire Lead 4",WIR,LED,"Copper C11000",Class 3,1,0.002,0.03,0.002,0.03,"Mueller Industries",4,MRBR-WIR-LED-0004
32,"Wire Lead 5",WIR,LED,"Copper C11000",Class 3,1,0.002,0.03,0.002,0.03,"Mueller Industries",4,MRBR-WIR-LED-0005
33,"Wire Lead 6",WIR,LED,"Copper C11000",Class 3,1,0.002,0.03,0.002,0.03,"Mueller Industries",4,MRBR-WIR-LED-0006
34,"M12 Connector (8-pin)",WIR,CNN,"ABS Plastic",Class 3,1,0.006,0.03,0.006,0.03,"TBD",4,MRBR-WIR-CNN-0001
35,"M4 Socket-Head Cap Screw 1",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0001
36,"M4 Socket-Head Cap Screw 2",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0002
37,"M4 Socket-Head Cap Screw 3",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0003
38,"M4 Socket-Head Cap Screw 4",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0004
39,"M4 Socket-Head Cap Screw 5",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0005
40,"M4 Socket-Head Cap Screw 6",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0006
41,"M4 Socket-Head Cap Screw 7",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0007
42,"M4 Socket-Head Cap Screw 8",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0008
43,"M4 Socket-Head Cap Screw 9",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0009
44,"M4 Socket-Head Cap Screw 10",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0010
45,"M4 Socket-Head Cap Screw 11",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0011
46,"M4 Socket-Head Cap Screw 12",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0012
47,"M4 Socket-Head Cap Screw 13",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0013
48,"M4 Socket-Head Cap Screw 14",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0014
49,"M4 Socket-Head Cap Screw 15",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0015
50,"M4 Socket-Head Cap Screw 16",FAS,BLT,"Steel AISI 4340",Class 3,1,0.002,0.01,0.002,0.01,"Carpenter Technology",2,MRBR-FAS-BLT-0016
